name	version	license
ab_glyph	0.2.32	Apache-2.0
ab_glyph_rasterizer	0.1.10	Apache-2.0
accesskit	0.21.1	MIT OR Apache-2.0
accesskit_atspi_common	0.14.2	MIT OR Apache-2.0
accesskit_consumer	0.31.0	MIT OR Apache-2.0
accesskit_macos	0.22.2	MIT OR Apache-2.0
accesskit_unix	0.17.2	MIT OR Apache-2.0
accesskit_windows	0.29.2	MIT OR Apache-2.0
accesskit_winit	0.29.2	Apache-2.0
adler2	2.0.1	0BSD OR MIT OR Apache-2.0
ahash	0.8.12	MIT OR Apache-2.0
aho-corasick	1.1.4	Unlicense OR MIT
aligned	0.4.3	MIT OR Apache-2.0
aligned-vec	0.6.4	MIT
allocator-api2	0.2.21	MIT OR Apache-2.0
alsa	0.11.0	Apache-2.0/MIT
alsa-sys	0.4.0	MIT
android-activity	0.6.0	MIT OR Apache-2.0
android-properties	0.2.2	MIT
android_system_properties	0.1.5	MIT/Apache-2.0
annotate-snippets	0.11.5	MIT OR Apache-2.0
anstream	0.6.21	MIT OR Apache-2.0
anstyle	1.0.13	MIT OR Apache-2.0
anstyle-parse	0.2.7	MIT OR Apache-2.0
anstyle-query	1.1.5	MIT OR Apache-2.0
anstyle-wincon	3.0.11	MIT OR Apache-2.0
anyhow	1.0.102	MIT OR Apache-2.0
anymap3	1.0.1	BlueOak-1.0.0 OR MIT OR Apache-2.0
arbitrary	1.4.2	MIT OR Apache-2.0
arboard	3.6.1	MIT OR Apache-2.0
arg_enum_proc_macro	0.3.4	MIT
array-init	2.1.0	MIT OR Apache-2.0
arrayref	0.3.9	BSD-2-Clause
arrayvec	0.7.6	MIT OR Apache-2.0
as-raw-xcb-connection	1.0.1	MIT OR Apache-2.0
as-slice	0.2.1	MIT OR Apache-2.0
ash	0.38.0+1.3.281	MIT OR Apache-2.0
asn1-rs	0.7.1	MIT OR Apache-2.0
asn1-rs-derive	0.6.0	MIT OR Apache-2.0
asn1-rs-impl	0.2.0	MIT/Apache-2.0
async-broadcast	0.7.2	MIT OR Apache-2.0
async-channel	2.5.0	Apache-2.0 OR MIT
async-executor	1.14.0	Apache-2.0 OR MIT
async-io	2.6.0	Apache-2.0 OR MIT
async-lock	3.4.2	Apache-2.0 OR MIT
async-process	2.5.0	Apache-2.0 OR MIT
async-recursion	1.1.1	MIT OR Apache-2.0
async-signal	0.2.13	Apache-2.0 OR MIT
async-task	4.7.1	Apache-2.0 OR MIT
async-trait	0.1.89	MIT OR Apache-2.0
atoi	2.0.0	MIT
atomic-waker	1.1.2	Apache-2.0 OR MIT
atspi	0.25.0	Apache-2.0 OR MIT
atspi-common	0.9.0	Apache-2.0 OR MIT
atspi-connection	0.9.0	Apache-2.0 OR MIT
